"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"279","Dungeon-Party","Mar 13, 2013","Free","6% (40%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio","Bigben Interactive"
"287","Kenshi","Mar 20, 2013","$19.99","74% (89%)","200,000 .. 500,000","13:38 (07:02)","Lo-Fi Games","Lo-Fi Games"
"290","Knights of Pen and Paper +1 Edition","Jun 18, 2013","$9.99","63% (85%)","200,000 .. 500,000","04:09 (02:51)","Behold Studios","Paradox Interactive"
"301","Interstellar Marines","Jul 2, 2013","$9.99","22% (62%)","200,000 .. 500,000","04:02 (01:20)","Zero Point Software","Zero Point Software"
"304","Cities XL Platinum","Feb 6, 2013","$9.99","15% (55%)","200,000 .. 500,000","00:34 (00:22)","Focus Home Interactive","Focus Home Interactive"
"316","Bridge Constructor","Oct 16, 2013","$9.99","41% (75%)","200,000 .. 500,000","04:12 (03:58)","ClockStone","Headup Games"
"317","Castlevania: Lords of Shadow – Ultimate Edition","Aug 27, 2013","$29.99","49% (79%)","200,000 .. 500,000","02:43 (03:37)","MercurySteam - Climax Studios","Konami Digital Entertainment"
"321","fault - milestone one","Aug 9, 2013","$14.99","90% (94%)","200,000 .. 500,000","01:53 (00:37)","ALICE IN DISSONANCE","Sekai Project"
"332","Champions of Regnum","Feb 27, 2013","Free","21% (61%)","200,000 .. 500,000","00:00 (00:00)","NGD Studios","NGD Studios"
"336","LOST PLANET 3","Aug 26, 2013","$24.99","22% (62%)","200,000 .. 500,000","00:00 (00:00)","Spark Unlimited","Capcom"
"342","DLC Quest","Mar 18, 2013","$2.99","71% (88%)","200,000 .. 500,000","01:20 (00:41)","Going Loud Studios","Going Loud Studios"
"351","100% Orange Juice","Sep 10, 2013","$6.99","90% (94%)","200,000 .. 500,000","03:18 (01:27)","Orange_Juice","Fruitbat Factory"
"359","Zeno Clash 2","Apr 30, 2013","$14.99","51% (80%)","200,000 .. 500,000","00:52 (00:17)","ACE Team","ATLUS USA"
"361","King’s Bounty: Legions","Dec 10, 2013","Free","12% (51%)","200,000 .. 500,000","00:00 (00:00)","Nival","Nival"
"368","The 39 Steps","Apr 25, 2013","$14.99","53% (81%)","200,000 .. 500,000","03:27 (04:14)","The Story Mechanics","KISS ltd"
"374","Toki Tori 2+","Jul 11, 2013","$14.99","66% (86%)","200,000 .. 500,000","00:00 (00:00)","Two Tribes","Two Tribes"
"375","Marvel Puzzle Quest","Dec 5, 2013","Free","31% (69%)","200,000 .. 500,000","00:43 (00:14)","Demiurge Studios","D3 Go!"
"394","Earth 2140","Nov 15, 2013","$4.99","14% (54%)","200,000 .. 500,000","03:58 (05:12)","Reality Pump Studios","Topware Interactive ACE, ACE"
"405","PAC-MAN Championship Edition DX+","Sep 24, 2013","$9.99","95% (96%)","200,000 .. 500,000","00:04 (00:02)","Mine Loader Software Co., Ltd.","BANDAI NAMCO Entertainment"
"416","Organ Trail: Director's Cut","Mar 19, 2013","$4.99","74% (89%)","200,000 .. 500,000","00:09 (00:05)","The Men Who Wear Many Hats","The Men Who Wear Many Hats"
"421","Professional Farmer 2014","Nov 27, 2013","$14.99","8% (45%)","200,000 .. 500,000","00:00 (00:00)","PlayWay S.A.","United Independent Entertainment GmbH"
"422","Monster Loves You!","Mar 18, 2013","$9.99","41% (75%)","200,000 .. 500,000","00:00 (00:00)","Radial Games Corp, Dejobaan Games, LLC","Radial Games Corp"
"428","Pool Nation","Oct 18, 2013","$6.99","77% (90%)","200,000 .. 500,000","00:17 (00:11)","Cherry Pop Games","Cherry Pop Games"
"430","Cobi Treasure Deluxe","Dec 2, 2013","$2.99","39% (74%)","200,000 .. 500,000","04:25 (01:28)","Cobra Mobile","KISS ltd"
"440","Viscera Cleanup Detail: Shadow Warrior","Oct 11, 2013","$39.99","49% (79%)","200,000 .. 500,000","00:05 (00:02)","RuneStorm","Devolver Digital"
"456","Age of Conan: Unchained","Feb 22, 2013","Free","31% (69%)","200,000 .. 500,000","05:54 (03:56)","Funcom","Funcom"
"471","Iesabel","Jul 7, 2013","$4.99","2% (25%)","200,000 .. 500,000","00:00 (00:00)","","Forever Entertainment S. A."
"503","Divinity: Dragon Commander","Aug 6, 2013","$39.99","38% (73%)","200,000 .. 500,000","02:15 (01:29)","Larian Studios","Larian Studios"
"507","Farming Simulator 2013 Titanium Edition","Oct 9, 2013","$14.99","77% (90%)","200,000 .. 500,000","00:26 (00:33)","Giants Software","Giants Software"
"24","Giana Sisters: Twisted Dreams - Rise of the Owlverlord","Sep 26, 2013","$4.99","66% (86%/84%)","100,000 .. 200,000","00:00 (00:00)","Black Forest Games","HandyGames, Black Forest Games"
"27","Valdis Story: Abyssal City","Sep 8, 2013","$14.99","60% (84%/83%)","100,000 .. 200,000","00:00 (00:00)","","Endlessfluff Games"
"36","Desktop Dungeons","Nov 7, 2013","$14.99","77% (90%/82%)","100,000 .. 200,000","00:05 (00:01)","QCF Design","QCF Design"
"43","140","Oct 16, 2013","$4.99","90% (94%/80%)","100,000 .. 200,000","01:03 (00:41)","Carlsen Games","Carlsen Games"
"58","Super House of Dead Ninjas","Feb 18, 2013","$6.99","95% (96%/79%)","100,000 .. 200,000","02:19 (04:09)","Megadev","Adult Swim Games"
"59","TrackMania² Valley","Jul 4, 2013","$19.99","43% (76%/79%)","100,000 .. 200,000","00:58 (00:19)","Nadeo","Ubisoft"
"67","Expeditions: Conquistador","May 30, 2013","$19.99","49% (79%/77%)","100,000 .. 200,000","22:17 (14:16)","Logic Artists","THQ Nordic"
"78","Angry Video Game Nerd Adventures","Sep 20, 2013","$4.99","74% (89%/77%)","100,000 .. 200,000","00:06 (00:02)","FreakZone Games","Screenwave Media"
"79","Syder Arcade","Oct 24, 2013","$9.99","68% (87%/76%)","100,000 .. 200,000","00:00 (00:00)","Studio Evil","Studio Evil"
"82","Kairo","Apr 24, 2013","$4.99","41% (75%/76%)","100,000 .. 200,000","00:00 (00:00)","Locked Door Puzzle","Lupus Studios Limited"
"90","Ring Runner: Flight of the Sages","Jul 9, 2013","$4.99","63% (85%/75%)","100,000 .. 200,000","04:50 (01:36)","Triple.B.Titles","Triple.B.Titles"
"92","Anodyne","Mar 22, 2013","$9.99","71% (88%/75%)","100,000 .. 200,000","00:00 (00:00)","Sean Han Tani, Marina Kittaka","Analgesic Productions"
"100","Incredipede","Mar 18, 2013","$9.99","47% (78%/74%)","100,000 .. 200,000","00:08 (00:02)","Colin Northway with art by Thomas Shahan","Northway Games"
"105","Fieldrunners 2","Jan 10, 2013","$9.99","66% (86%/73%)","100,000 .. 200,000","01:33 (00:31)","Subatomic Studios LLC","Subatomic Studios LLC"
"112","PixelJunk Shooter","Nov 11, 2013","$8.99","90% (94%/73%)","100,000 .. 200,000","00:58 (00:19)","Double Eleven, Q-Games Ltd.","Double Eleven"
"113","Guncraft","Aug 9, 2013","$14.99","11% (50%/73%)","100,000 .. 200,000","00:00 (00:00)","Exato Games Studio","Reverb Triple XP"
"114","Super Splatters","Jun 26, 2013","$9.99","74% (89%/73%)","100,000 .. 200,000","00:00 (00:00)","SpikySnail","SpikySnail"
"115","CastleStorm","Jul 29, 2013","$9.99","74% (89%/73%)","100,000 .. 200,000","00:00 (00:00)","Zen Studios","Zen Studios"
"121","The Inner World","Sep 27, 2013","$14.99","83% (92%/72%)","100,000 .. 200,000","00:08 (00:02)","Studio Fizbin","Headup Games"
"122","Skulls of the Shogun","Jul 29, 2013","$9.99","80% (91%/72%)","100,000 .. 200,000","00:00 (00:00)","17-BIT","17-BIT"
"130","Lilly Looking Through","Nov 1, 2013","$9.99","49% (79%/71%)","100,000 .. 200,000","00:00 (00:00)","Geeta Games","Libredia"
"141","Thunder Wolves","May 15, 2013","$9.99","74% (89%/69%)","100,000 .. 200,000","00:00 (00:00)","Most Wanted Entertainment","HandyGames"
"148","A Valley Without Wind 2","Feb 18, 2013","$14.99","10% (48%/68%)","100,000 .. 200,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"149","Space Rangers HD: A War Apart","Oct 17, 2013","$14.99","90% (94%/68%)","100,000 .. 200,000","02:53 (02:01)","SNK Games, Elemental Games, Katauri Interactive","1C Entertainment"
"151","Cubemen 2","Apr 8, 2013","$7.99","34% (71%/68%)","100,000 .. 200,000","00:00 (00:00)","3 Sprockets","3 Sprockets"
"153","Ittle Dew","Jul 23, 2013","$9.99","83% (92%/67%)","100,000 .. 200,000","00:00 (00:00)","Ludosity","Ludosity"
"154","10,000,000","Jan 15, 2013","$4.99","77% (90%/67%)","100,000 .. 200,000","01:15 (01:12)","EightyEightGames","EightyEightGames"
"160","Final Exam","Nov 5, 2013","$9.99","66% (86%/66%)","100,000 .. 200,000","01:38 (00:32)","Mighty Rocket Studio","Focus Home Interactive"
"162","Strike Suit Infinity","Apr 30, 2013","$6.99","63% (85%/66%)","100,000 .. 200,000","01:22 (00:27)","Born Ready Games Ltd.","Born Ready Games"
"170","The Novelist","Dec 10, 2013","$9.99","53% (81%/66%)","100,000 .. 200,000","00:00 (00:00)","Orthogonal Games","Maxistentialism"
"171","Journey of a Roach","Nov 4, 2013","$6.99","71% (88%/65%)","100,000 .. 200,000","00:30 (00:10)","Koboldgames, Daedalic Entertainment","Daedalic Entertainment"
"174","Skyward Collapse","May 23, 2013","$4.99","8% (45%/64%)","100,000 .. 200,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"186","StarDrive","Apr 26, 2013","$29.99","7% (41%/61%)","100,000 .. 200,000","00:00 (00:00)","Zero Sum Games","Iceberg Interactive"
"189","Violett Remastered","Dec 13, 2013","$9.99","18% (59%/61%)","100,000 .. 200,000","01:46 (00:35)","Forever Entertainment S. A.","Forever Entertainment S. A."
"198","Prime World: Defenders","Jun 5, 2013","$9.99","49% (79%/58%)","100,000 .. 200,000","00:00 (00:00)","Nival","Nival"
"200","Urban Trial Freestyle","Sep 18, 2013","Free","55% (82%/58%)","100,000 .. 200,000","03:32 (01:10)","Tate Multimedia","Tate Multimedia"
"202","Two Brothers","Dec 3, 2013","N/A","3% (30%/57%)","100,000 .. 200,000","00:00 (00:00)","Ackk Studios","Ackk Studios"
"204","Darkout","Dec 4, 2013","$14.99","14% (54%/55%)","100,000 .. 200,000","00:00 (00:00)","Allgraf","KISS ltd"
"206","Deadfall Adventures","Nov 15, 2013","$19.99","36% (72%/53%)","100,000 .. 200,000","00:00 (00:00)","The Farm 51","THQ Nordic"
"207","Speedball 2 HD","Dec 5, 2013","$9.99","31% (69%/53%)","100,000 .. 200,000","00:00 (00:00)","Vivid Games","Mastertronic"
"211","Gomo","Dec 6, 2013","$4.99","41% (75%/50%)","100,000 .. 200,000","01:18 (00:51)","Fishcow Studio","Daedalic Entertainment"
"215","Impire","Feb 14, 2013","$19.99","8% (45%/45%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Montreal","Paradox Interactive"
"223","Unholy Heights","Aug 16, 2013","$3.99","77% (90%)","100,000 .. 200,000","00:00 (00:00)","Petit Depotto","AGM PLAYISM"
"225","1953 - KGB Unleashed","Sep 20, 2013","$5.99","23% (63%)","100,000 .. 200,000","00:00 (00:00)","","United Independent Entertainment GmbH"
"242","Rising Angels: Reborn","Oct 31, 2013","Free","51% (80%)","100,000 .. 200,000","00:00 (00:00)","IDHAS Studios","Sekai Project"
"247","Another World – 20th Anniversary Edition","Apr 4, 2013","$9.99","63% (85%)","100,000 .. 200,000","00:00 (00:00)","Eric Chahi, DotEmu","The Digital Lounge"
"250","Draw a Stickman: EPIC","Dec 3, 2013","$3.99","45% (77%)","100,000 .. 200,000","00:00 (00:00)","Hitcents","Hitcents"
"253","Anomaly Korea","Nov 6, 2013","$4.99","30% (68%)","100,000 .. 200,000","01:59 (01:02)","11 bit studios","11 bit studios"
"256","Jones On Fire","Mar 14, 2013","$2.99","60% (84%)","100,000 .. 200,000","01:32 (00:30)","Glass Bottom Games","Glass Bottom Games"
"259","FootLOL: Epic Fail League","Aug 7, 2013","$9.99","58% (83%)","100,000 .. 200,000","00:00 (00:00)","Lion's Shade","HeroCraft"
"263","Rush Bros.","May 24, 2013","$9.99","24% (64%)","100,000 .. 200,000","00:00 (00:00)","XYLA Entertainment","Digital Tribe"
"265","Chainsaw Warrior","Oct 7, 2013","$4.99","30% (68%)","100,000 .. 200,000","00:00 (00:00)","Auroch Digital","Auroch Digital"
"273","Tribloos 2","Jan 12, 2013","$4.99","80% (91%)","100,000 .. 200,000","00:00 (00:00)","BumpkinBrothers","BumpkinBrothers"
"276","Small World 2","Dec 11, 2013","$9.99","39% (74%)","100,000 .. 200,000","04:01 (01:20)","Days of Wonder","Days of Wonder, Asmodee Digital"
"277","Soul Gambler","Aug 1, 2013","$2.99","71% (88%)","100,000 .. 200,000","00:00 (00:00)","Tlön Studios","Gamestorming"
"308","OMSI 2: Steam Edition","Dec 11, 2013","$29.99","34% (71%)","100,000 .. 200,000","05:32 (02:57)","MR-Software GbR","Aerosoft GmbH"
"311","Castle of Illusion","Sep 4, 2013","$14.99","74% (89%)","100,000 .. 200,000","00:28 (00:18)","SEGA Studios Australia, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)"
"318","Huntsman: The Orphanage (Halloween Edition)","Sep 13, 2013","$9.99","5% (37%)","100,000 .. 200,000","00:00 (00:00)","ShadowShifters","ShadowShifters"
"330","Solar Flux","Oct 24, 2013","$9.99","49% (79%)","100,000 .. 200,000","02:16 (00:45)","Firebrand Games","Firebrand Games"
"353","7 Grand Steps: What Ancients Begat","Jun 7, 2013","$19.99","18% (59%)","100,000 .. 200,000","00:00 (00:00)","Mousechief","Mousechief"
"354","Type:Rider","Nov 6, 2013","$4.99","55% (82%)","100,000 .. 200,000","00:00 (00:00)","Ex Nihilo","Plug In Digital"
"358","International Snooker","Jan 11, 2013","$12.99","22% (62%)","100,000 .. 200,000","00:10 (00:06)","Big Head Games","KISS ltd"
"360","Ravensword: Shadowlands","Dec 6, 2013","$6.99","14% (54%)","100,000 .. 200,000","00:00 (00:00)","Crescent Moon Games","Crescent Moon Games"
"362","If My Heart Had Wings","Jun 28, 2013","$14.99","83% (92%)","100,000 .. 200,000","01:21 (01:13)","MoeNovel","MoeNovel"
"373","Axis Game Factory's AGFPRO v3","Nov 19, 2013","$9.99","21% (61%)","100,000 .. 200,000","00:00 (00:00)","Axis Game Factory LLC","Axis Game Factory LLC"
"376","BattleSpace","Sep 27, 2013","N/A","4% (33%)","100,000 .. 200,000","00:00 (00:00)","Funnel Inc.","Whybe Online"
"378","Super Amazing Wagon Adventure","Oct 17, 2013","$2.99","93% (95%)","100,000 .. 200,000","00:31 (00:20)","sparsevector","sparsevector"
"383","Electronic Super Joy","Aug 23, 2013","$7.99","77% (90%)","100,000 .. 200,000","00:49 (00:57)","Michael Todd Games","Michael Todd Games"
"386","Clickteam Fusion 2.5","Dec 5, 2013","$99.99","77% (90%)","100,000 .. 200,000","29:03 (26:59)","Clickteam","Clickteam"
"389","Portal 2 Sixense Perceptual Pack","Sep 20, 2013","N/A","9% (46%)","100,000 .. 200,000","02:04 (02:27)","","Sixense"
"395","Bridge Project","Mar 28, 2013","$19.99","10% (48%)","100,000 .. 200,000","00:00 (00:00)","Halycon Media GmbH & Co. KG","THQ Nordic"
"402","Shufflepuck Cantina Deluxe","Dec 6, 2013","$9.99","71% (88%)","100,000 .. 200,000","00:20 (00:06)","Agharta Studio","Agharta Studio"
"409","Dungeons & Dragons: Chronicles of Mystara","Jun 18, 2013","$14.99","51% (80%)","100,000 .. 200,000","01:48 (01:48)","Iron Galaxy Studios","Capcom"
"415","Survivor Squad","Nov 8, 2013","$2.99","30% (68%)","100,000 .. 200,000","01:18 (00:26)","Endless Loop Studios","Endless Loop Studios"
"418","Steam Marines","Sep 4, 2013","$19.99","14% (54%)","100,000 .. 200,000","00:00 (00:00)","Worthless Bums","Red Barrels"
"419","Coin Crypt","Nov 18, 2013","$9.99","83% (92%)","100,000 .. 200,000","00:00 (00:00)","Greg Lobanov","Strategy First"
"420","Bleed","Jul 3, 2013","$4.99","83% (92%)","100,000 .. 200,000","00:00 (00:00)","Ian Campbell","Ian Campbell"
"426","The Apogee Throwback Pack","Jul 1, 2013","$9.99","93% (95%)","100,000 .. 200,000","00:00 (00:00)","Interceptor Entertainment","Apogee Software"
"431","Ballpoint Universe - Infinite","Dec 17, 2013","$3.99","68% (87%)","100,000 .. 200,000","00:00 (00:00)","Arachnid Games","Arachnid Games"
"439","Paranautical Activity: Deluxe Atonement Edition","Feb 14, 2013","$9.99","34% (71%)","100,000 .. 200,000","00:17 (00:05)","Digerati Distribution","Digerati Distribution"
"442","Hive","Nov 15, 2013","$9.99","77% (90%)","100,000 .. 200,000","00:00 (00:00)","BlueLine Games","BlueLine Games"
"450","Super Sanctum TD","May 9, 2013","$4.99","68% (87%)","100,000 .. 200,000","00:22 (00:07)","Coffee Stain Studios","Coffee Stain Publishing"
"453","Ys I & II Chronicles+","Feb 14, 2013","$14.99","71% (88%)","100,000 .. 200,000","00:06 (00:02)","Nihon Falcom","XSEED Games"
"458","Finding Teddy","Dec 3, 2013","$6.99","55% (82%)","100,000 .. 200,000","00:00 (00:00)","Storybird","LookAtMyGame, Plug In Digital"
"462","DisplayFusion","Mar 29, 2013","$34.99","83% (92%)","100,000 .. 200,000","00:10 (00:03)","Binary Fortress Software","Binary Fortress Software"
"466","Anomaly Warzone Earth Mobile Campaign","Nov 6, 2013","$4.99","47% (78%)","100,000 .. 200,000","00:52 (01:08)","11 bit studios","11 bit studios"
"468","Jack Lumber","Apr 30, 2013","$4.99","66% (86%)","100,000 .. 200,000","00:00 (00:00)","Owlchemy Labs","Owlchemy Labs"
"477","Manhunter","Jan 29, 2013","$4.99","3% (30%)","100,000 .. 200,000","01:38 (00:32)","Silden","KISS ltd"
"479","Nightmares from the Deep 2: The Siren`s Call","Jul 24, 2013","$9.99","90% (94%)","100,000 .. 200,000","01:53 (01:15)","Artifex Mundi","Artifex Mundi"
"482","Demonicon","Oct 24, 2013","$9.99","27% (66%)","100,000 .. 200,000","04:19 (01:26)","Noumena Studios","Kalypso Media Digital"
"483","Marlow Briggs and the Mask of Death","Sep 20, 2013","$4.99","80% (91%)","100,000 .. 200,000","00:00 (00:00)","Zootfly","505 Games"
"487","Not The Robots","Dec 12, 2013","$9.99","51% (80%)","100,000 .. 200,000","00:00 (00:00)","2DArray","tinyBuild"
"499","Ohm Studio","Dec 9, 2013","Free","27% (66%)","100,000 .. 200,000","00:00 (00:00)","GRAOUMF","Ohm Force"
"506","Enigmatis 2: The Mists of Ravenwood","Sep 25, 2013","$9.99","97% (97%)","100,000 .. 200,000","00:00 (00:00)","Artifex Mundi","Artifex Mundi"
"35","Avadon 2: The Corruption","Oct 30, 2013","$9.99","63% (85%/82%)","50,000 .. 100,000","00:00 (00:00)","Spiderweb Software","Spiderweb Software"
"61","Soundodger+","Oct 11, 2013","$7.99","80% (91%/78%)","50,000 .. 100,000","00:31 (00:16)","Studio Bean","Adult Swim Games"
"72","Element4l","May 24, 2013","$8.99","60% (84%/77%)","50,000 .. 100,000","00:01 (00:00)","I-Illusions","I-Illusions"
"86","ShootMania Storm","Apr 10, 2013","$19.99","63% (85%/76%)","50,000 .. 100,000","00:00 (00:00)","Nadeo","Ubisoft"
"108","Paper Sorcerer","Nov 21, 2013","$4.99","66% (86%/73%)","50,000 .. 100,000","00:00 (00:00)","Ultra Runaway Games","Ultra Runaway Games"
"116","Dungeon Hearts","Mar 28, 2013","$2.99","28% (67%/73%)","50,000 .. 100,000","00:00 (00:00)","Cube Roots","Devolver Digital"
"117","MirrorMoon EP","Sep 4, 2013","$14.99","27% (66%/73%)","50,000 .. 100,000","04:52 (01:37)","Santa Ragione","Santa Ragione"
"120","Aarklash: Legacy","Sep 12, 2013","$15.99","47% (78%/72%)","50,000 .. 100,000","00:00 (00:00)","Cyanide Studio","Bigben Interactive"
"123","Tetrobot and Co.","Oct 22, 2013","$9.99","97% (97%/72%)","50,000 .. 100,000","00:53 (00:17)","Swing Swing Submarine","Swing Swing Submarine"
"128","March of the Eagles","Feb 18, 2013","$19.99","27% (66%/71%)","50,000 .. 100,000","00:00 (00:00)","Paradox Development Studio","Paradox Interactive"
"140","Foul Play","Sep 18, 2013","$14.99","60% (84%/69%)","50,000 .. 100,000","00:00 (00:00)","Mediatonic, The Irregular Corporation","Devolver Digital"
"143","Ironclad Tactics","Sep 18, 2013","$14.99","47% (78%/69%)","50,000 .. 100,000","00:23 (00:08)","Zachtronics","Zachtronics"
"163","Rise of Venice","Sep 27, 2013","$19.99","16% (57%/66%)","50,000 .. 100,000","19:05 (06:21)","","Kalypso Media Digital"
"165","Oozi: Earth Adventure","Dec 5, 2013","$4.99","68% (87%/66%)","50,000 .. 100,000","00:00 (00:00)","Awesome Games Studio","Awesome Games Studio"
"166","The Yawhg","May 30, 2013","$9.99","51% (80%/66%)","50,000 .. 100,000","00:00 (00:00)","Damian Sommer, Emily Carroll","Damian Sommer"
"187","Oknytt","Jul 8, 2013","$4.99","87% (93%/61%)","50,000 .. 100,000","02:32 (00:50)","Nemoria Entertainment","Nemoria Entertainment"
"194","Face Noir","Oct 17, 2013","$9.99","22% (62%/59%)","50,000 .. 100,000","03:31 (01:10)","Mad Orange","Phoenix Online Publishing"
"195","Shattered Haven","Mar 18, 2013","$9.99","8% (45%/59%)","50,000 .. 100,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"196","Master Reboot","Oct 29, 2013","$14.99","39% (74%/59%)","50,000 .. 100,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"201","Knock-knock","Oct 4, 2013","$9.99","74% (89%/57%)","50,000 .. 100,000","00:00 (00:00)","Ice-Pick Lodge","Ice-Pick Lodge"
"217","DARK","Jul 3, 2013","$9.99","9% (47%/41%)","50,000 .. 100,000","00:00 (00:00)","Realmforge Studios","Kalypso Media Digital"
"218","The Chaos Engine","Aug 29, 2013","$9.99","33% (70%/40%)","50,000 .. 100,000","00:00 (00:00)","Abstraction Games, The Bitmap Brothers","The Bitmap Brothers"
"219","Montague's Mount","Nov 19, 2013","$4.99","23% (63%/39%)","50,000 .. 100,000","00:00 (00:00)","PolyPusher Studios","PolyPusher Studios"
"220","Dementium II HD","Dec 17, 2013","N/A","9% (46%/37%)","50,000 .. 100,000","00:00 (00:00)","Memetic Games","Missing Link Games"
"233","Zombie Tycoon 2: Brainhov's Revenge","Dec 9, 2013","$4.99","25% (65%)","50,000 .. 100,000","01:47 (00:35)","Frima Studio","Frima Studio"
"237","Tiny Brains","Dec 11, 2013","$9.99","45% (77%)","50,000 .. 100,000","00:00 (00:00)","Spearhead Games","505 Games"
"238","Wildlife Park 2 - Fantasy","Nov 15, 2013","$0.99","11% (49%)","50,000 .. 100,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
"246","Left in the Dark: No One on Board","Aug 20, 2013","$9.99","55% (82%)","50,000 .. 100,000","00:00 (00:00)","Moonrise Interactive","Artifex Mundi"
"255","Bad Hotel","Oct 16, 2013","$4.99","3% (30%)","50,000 .. 100,000","00:00 (00:00)","Lucky Frame","Lucky Frame"
"258","Droid Assault","Jan 9, 2013","$9.99","60% (84%)","50,000 .. 100,000","00:00 (00:00)","Puppygames","Puppygames"
"260","Namariel Legends: Iron Lord Premium Edition","Jun 5, 2013","$6.99","77% (90%)","50,000 .. 100,000","00:00 (00:00)","Shaman Games Studio","PlayRIX"
"283","Mini Motor Racing EVO","May 1, 2013","$4.99","30% (68%)","50,000 .. 100,000","02:31 (00:50)","The Binary Mill","The Binary Mill"
"286","Eryi's Action","Nov 19, 2013","$4.99","74% (89%)","50,000 .. 100,000","00:00 (00:00)","Xtal Sword","Xtal Sword"
"292","Ms. Splosion Man","Apr 3, 2013","$9.99","60% (84%)","50,000 .. 100,000","00:00 (00:00)","Twisted Pixel Games","Microsoft Studios"
"295","Airport Simulator 2014","Dec 19, 2013","$9.99","1% (10%)","50,000 .. 100,000","00:00 (00:00)","United Independent Entertainment GmbH","United Independent Entertainment GmbH"
"296","Blood Knights","Nov 13, 2013","$9.99","25% (65%)","50,000 .. 100,000","01:33 (01:01)","Deck 13","Kalypso Media Digital"
"298","Artemis Spaceship Bridge Simulator","Sep 16, 2013","$6.99","71% (88%)","50,000 .. 100,000","00:00 (00:00)","","Slitherine Ltd."
"302","Wizardry 6: Bane of the Cosmic Forge","Sep 10, 2013","$4.99","45% (77%)","50,000 .. 100,000","00:57 (00:19)","Sir-Tech","Gamepot, Inc., Nightdive Studios"
"303","Gravity Badgers","Nov 28, 2013","$4.99","33% (70%)","50,000 .. 100,000","00:00 (00:00)","Wales Interactive","Wales Interactive"
"307","Dysfunctional Systems: Learning to Manage Chaos","Apr 4, 2013","$4.99","45% (77%)","50,000 .. 100,000","00:00 (00:00)","Dischan Media","Dischan Media"
"320","Paranormal State: Poison Spring","Nov 26, 2013","$9.99","45% (77%)","50,000 .. 100,000","02:08 (00:42)","Teyon","Legacy Games"
"323","Primal Fears","Jan 8, 2013","$9.99","18% (59%)","50,000 .. 100,000","00:00 (00:00)","DnS Development","DnS Development"
"324","Cognition: An Erica Reed Thriller","Sep 19, 2013","$14.99","55% (82%)","50,000 .. 100,000","00:00 (00:00)","Phoenix Online Studios","Phoenix Online Publishing"
"335","The Shivah","Nov 21, 2013","$4.99","55% (82%)","50,000 .. 100,000","00:00 (00:00)","","Wadjet Eye Games"
"338","VelocityUltra","Dec 12, 2013","$9.99","63% (85%)","50,000 .. 100,000","00:00 (00:00)","Curve Digital, FuturLab","Curve Digital"
"343","RaidersSphere4th","Dec 31, 2013","$19.99","58% (83%)","50,000 .. 100,000","00:00 (00:00)","Rectangle","Sekai Project"
"344","9 Clues: The Secret of Serpent Creek","Jul 18, 2013","$9.99","74% (89%)","50,000 .. 100,000","00:00 (00:00)","Tap It Games","Artifex Mundi"
"345","Postmortem: One Must Die (Extended Cut)","Aug 15, 2013","$2.99","8% (45%)","50,000 .. 100,000","00:00 (00:00)","Unbound Creations","Unbound Creations"
"352","Stonerid","Dec 18, 2013","$4.99","28% (67%)","50,000 .. 100,000","00:00 (00:00)","Enitvare","Enitvare"
"355","Chernobyl Commando","Mar 8, 2013","$9.99","3% (26%)","50,000 .. 100,000","00:00 (00:00)","Silden","KISS ltd"
"364","Ultratron","Mar 18, 2013","$9.99","77% (90%)","50,000 .. 100,000","00:00 (00:00)","Puppygames","Puppygames"
"366","Shadows: Price For Our Sins Bonus Edition","Mar 21, 2013","$9.99","11% (49%)","50,000 .. 100,000","00:00 (00:00)","8th Floor Games","Encore, Viva Media"
"367","Mutant Mudds Deluxe","Nov 21, 2013","$9.99","47% (78%)","50,000 .. 100,000","00:00 (00:00)","Renegade Kid","Good Shepherd Entertainment"
"370","Zafehouse: Diaries","Sep 6, 2013","$1.99","28% (67%)","50,000 .. 100,000","00:00 (00:00)","Screwfly Studios","Screwfly Studios"
"372","Wizardry 7: Crusaders of the Dark Savant","Sep 10, 2013","$4.99","74% (89%)","50,000 .. 100,000","00:01 (00:00)","Sir-Tech","Gamepot, Inc., Nightdive Studios"
"380","Agricultural Simulator 2013 - Steam Edition","Jun 7, 2013","$9.99","2% (22%)","50,000 .. 100,000","00:40 (00:13)","Actalogic","United Independent Entertainment GmbH"
"382","Emergency 2014","Nov 15, 2013","$9.99","16% (57%)","50,000 .. 100,000","01:13 (00:24)","Sixteen Tons Entertainment","Sixteen Tons Entertainment"
"393","MotoGP13","Jun 20, 2013","$9.99","31% (69%)","50,000 .. 100,000","01:06 (00:22)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
